Id,objectid,name,x,y,the_geom,id
57,57,,84.55901117,27.8531,0101000020E61000009474CCD6C623554060152D6763DA3B40,57
58,58,,85.57281413,27.8241,0101000020E6100000CC1498FCA864554010110FE4F6D23B40,58
59,59,,85.72797725,27.7718,0101000020E61000006060E82D976E554000035F3594C53B40,59
60,60,Kyanjing,85.56804327,28.2114,0101000020E6100000FCFD23D25A645540B0F291C220363C40,60
61,61,,85.92708947,27.9115,0101000020E610000044500F6F557B554030463A3156E93B40,61
62,62,,85.44817437,27.8236,0101000020E6100000ACBE8BE3AE5C554020801D2CD6D23B40,62
63,63,,85.9446862,27.7119,0101000020E61000000CE416BD757C55402087D4193DB63B40,63
64,64,,84.99459424,27.8017,0101000020E6100000B06F9C6EA73F5540B0EB45033CCD3B40,64
65,65,,86.03491948,27.6818,0101000020E610000000F4EA1E3C825540D0AFA3DF8AAE3B40,65
66,66,,84.80843447,28.0388,0101000020E61000009CE0EF63BD335540F0CFE5EFEF093C40,66
67,67,,85.43497707,27.785,0101000020E6100000186815AAD65B5540A09AA101F9C83B40,67
68,68,,85.48887361,27.7798,0101000020E6100000B4FC88B4495F5540C0FB48BCA2C73B40,68
69,69,,85.24308963,28.1626,0101000020E61000006CA6C9C78E4F55405050798EA0293C40,69
70,70,,86.54806677,27.6033,0101000020E610000088DBA08613A35540A0EFD9C1749A3B40,70
71,71,,84.07492136,27.5375,0101000020E6100000F4A2F682CB045540F0E6577197893B40,71
72,72,,86.20962785,27.9108,0101000020E6100000D408EF8A6A8D5540F0FB2A0F2BE93B40,72
73,73,Sindhuli,85.91773256,27.2078,0101000020E610000018AE5921BC7A5540D0A358AC30353B40,73
74,74,,86.21751795,27.8412,0101000020E610000034E965D0EB8D5540F00C977B57D73B40,74
75,75,Namche Sagarmatha Murrphy helipad,86.71444457,27.8039,0101000020E610000098E1BB75B9AD5540A0607F49CBCD3B40,75
76,76,Khunde heliport,86.70840823,27.8232,0101000020E61000001CF7758F56AD5540201DF27EBED23B40,76
77,77,Nepal Army,86.04679625,27.6694,0101000020E6100000E073B2B5FE825540A0548D425CAB3B40,77
