Id,objectid,name,y,x,the_geom,id
58,59,temporary police post,26.5442164,86.7423945,0101000020E6100000D8E2386483AF554050F216C4518B3A40,59
235,238,temporary police post,29.3646154,81.3446027,0101000020E6100000BCD17BF80D56544090D1506F575D3D40,238
136,138,"Temporary Police Station Ripitar, Sarankot",28.2457824,83.9485398,0101000020E6100000D01047E0B4FC544000F46A98EB3E3C40,138
140,142,"Temporary Police Station, Baal Sudhar Kendra Saarankot",28.2397828,83.9649231,0101000020E6100000D801D14CC1FD5440D070D367623D3C40,142
137,139,"Temporary Police Station, Bindawasini",28.2373819,83.9852464,0101000020E6100000F8BBEA460EFF54406040670FC53C3C40,139
109,110,"Temporary Police Station, Nadipur",28.2334287,83.9905489,0101000020E6100000ECA8362765FF54407032B9FBC13B3C40,110
135,137,"Temporary Police Station, Srijana Chowk",28.2109696,83.9811525,0101000020E610000090F5DA33CBFE544060738B1A02363C40,137
112,113,Thapathali,27.6890227,85.3204209,0101000020E6100000E882A9C681545540C0B8ABCA63B03B40,113
35,36,Tilingatar Police Station,27.7380078,85.3255859,0101000020E610000020E33D66D654554080D94414EEBC3B40,36
227,230,Todke Prahari chauki,27.9722425,84.9222782,0101000020E61000002C1C259B063B554020876BE2E4F83B40,230
11,12,Tourist Check,28.5524367,84.2589483,0101000020E6100000CC18E49B921055401071D87D6C8D3C40,12
17,18,Tourist Police,27.6739246,85.3256523,0101000020E6100000ACEDBE7CD75455406000965286AC3B40,18
62,63,Tourist Police,28.1637681,85.337056,0101000020E6100000FCF153539255554000FECAB4EC293C40,63
167,169,Tourist Police,27.5830775,84.4961339,0101000020E6100000400367A8C01F5540E0A5299144953B40,169
172,174,Tourist Police,27.4910966,83.2743587,0101000020E610000050BFCA178FD15440F027BD81B87D3B40,174
142,144,Tourist Police Information Center,28.2082223,83.9573751,0101000020E610000030AD35A245FD5440D098820E4E353C40,144
143,145,Tourist Police Information Center,28.2013072,83.9681975,0101000020E61000000C56A5F2F6FD544000BD60DE88333C40,145
1,2,Tourist Police Post,28.2117055,83.95727,0101000020E6100000943164E943FD544040A2E55432363C40,2
43,44,"Tourist Police Sub-Section, Baidam",28.1992872,83.9695651,0101000020E6100000A895C65A0DFE5440206B687C04333C40,44
