FID,name,operator_t,isced_leve,Lat,Log,Remarks
1790,Aptech computer education, , ,27.6715966,85.3187719, 
1791,Gyan Sikha Boarding High School, , ,27.6732994,85.3175122, 
1792,Himalayan White House Open School, , ,27.6755264,85.3163134, 
1793,Sagarmatha Boarding High School, , ,27.6742054,85.3156271, 
1794,Aberdeen Int'l College, , ,27.6728012,85.3177053, 
1795,Vidya Vikash Boarding High School, , ,27.6732753,85.3188426, 
1796,apex life school, , ,27.6990267,85.3377305, 
1797,Kathmandu English School, , ,27.7132927,85.3324399, 
1798,Westwood International Pre School, , ,27.7225939,85.3134439, 
1799,Kinder Care International, , ,27.7204411,85.3096223, 
1800,Sacred Cosmos International Education Foundation Pre School, , ,27.7260679,85.3132038, 
1801,Cute Child's Montessori, , ,27.7283845,85.3126767, 
1802,Pathshala Nepal, , ,27.6942291,85.3336734, 
1803,Learnhub Primary School, , ,27.7195919,85.3391232, 
1804,International French School - Ecole Francaise Internationale, , ,27.7251251,85.3246132, 
1805,Gurkha Institute of Education and Career, , ,27.7239808,85.3242486, 
1806,Lilawati national academy, , ,27.5899213,85.4806676, 
1807,Holivision Technical Campus, , ,27.6913849,85.3335848, 
1808,Metro High School, , ,27.6913137,85.3336707, 
1809,Norkhil Academy, , ,27.691241,85.3293237, 
1810,Southpoint Boarding High School, , ,27.6887369,85.3284228, 
1811,Armed Police Force School, , ,27.6601679,85.2562562, 
1812,Ekata Sadan Boarding School, , ,27.7165875,85.3336128, 
1813,Mills Berry School, , ,27.7208063,85.3191849, 
1814,School of Creative Communications, , ,27.68621,85.3184409, 
1815,Jana Vikash Secondary School, , ,27.612188,85.3385837, 
1816,Sandra Namuna School, , ,27.7194598,85.3095534, 
1817,West Wood International Pre-school, , ,27.7226708,85.3134273, 
1818,waterbrdige test, , ,27.6844863,85.3184996, 
1819,Hobby Art Class, , ,27.6817925,85.3163406, 
1820,Kanti Ishwari School, , ,27.6933442,85.3131083, 
1821,Kids Garden Montessori School, , ,27.6819924,85.3481103, 
1822,NavaJyoti School and College, , ,27.6823907,85.3482925, 
1823,New Shine Academy High School, , ,27.6953948,85.3321747, 
1824,Stiener Academy, , ,27.6938686,85.3387237, 
1825,Padmakanya Vidyashram H.S. School and College, , ,27.705349,85.3259582, 
1826,shankhadevi higher s.school, , ,27.6299777,85.3661826, 
1827,Vidyadayini School, , ,27.673463,85.3765911, 
1828,Manang CPS, , ,27.6894439,85.3604664, 
1829,Annapurna Ma.V,government, ,27.6743548,85.3037355, 
1830,Babu Bidhya Mandir U Ma V, , ,27.6831568,85.3177465, 
1831,shree budha secoundary school, , ,27.6170815,85.3509543, 
1832,Manohara Secondary School, , ,27.7056732,85.4095133, 
1833,Bella Pre School, , ,27.7055958,85.2953507, 
1834,Numa Restaurant, , ,27.6689492,85.3217194, 
1835,LA school, , ,27.6694486,85.3097406, 
1836,SVM, , ,27.6663644,85.3157139, 
1837,KISC, , ,27.6760659,85.3097792, 
1838,Nepali Maharisi Foundation for Bhaidhik Culture, , ,27.7112838,85.3398568, 
1839,Seto Bangla Boarding School, , ,27.7117352,85.3379743, 
1840,Shree Bal Byabasayi Kendra Secondary School, , ,27.7109927,85.3406025, 
1841,Lyceum Model School, , ,27.714924,85.3405445, 
1842,bright vision education center, , ,27.6901282,85.3903629, 
1843,manasarovas academy, , ,27.7269249,85.3643667, 
1844,Sanskriti International School, , ,27.7186737,85.286222, 
1845,Nepal Vipassana Meditation centre, , ,27.7906031,85.3710957, 
1846, , , ,27.7118201,85.2877803, 
1847,Orphan school, , ,27.7121382,85.2881646, 
1848,nature school, , ,27.7361338,85.3174599, 
1849,Interface Australian Education, , ,27.7008309,85.3396342, 
